Laptop Model,Processor,Processor Score,Graphics Card,Graphics Score,Battery Life,Battery Life Score,RAM,Storage,Walmart Price,Amazon Price,Best Buy Price,Official Website Price,Average Price,Cost Score,Student Discount,Student Discount Score,Performance Rating,Performance Rating Score,Reliability Rating,Reliability Score,Customer Rating,Customer Rating Score,Most Possible Defected Part,Most Possible Defected Part Score
Lenovo Legion 5 Pro,AMD Ryzen 7 5800H,7.5,Nvidia GeForce RTX 3070,8,8 hours,6,16GB,512GB SSD,"$2,049","$1,480","$1,470","$1,500","$1,485",6.2,"5% off, free shipping",7,8.5,8.5,High,7.5,4.5,8.5,Battery,7
Lenovo Legion 5 Pro,AMD Ryzen 7 5800H,7.5,Nvidia GeForce RTX 3070,8,8 hours,6,32GB,1TB SSD,"$2,249","$1,680","$1,670","$1,700","$1,685",5.5,"5% off, free shipping",7,8.7,8.7,High,7.5,4.6,8.6,Battery,7
Lenovo Legion 5 Pro,AMD Ryzen 9 5900HX,8.2,Nvidia GeForce RTX 3080,9,8 hours,6,32GB,1TB SSD,"$2,349","$2,180","$2,170","$2,200","$2,185",4,"5% off, free shipping",7,9,9,High,7.5,4.7,8.7,Battery,7
Razer Blade 17,Intel Core i7-12700H,8.3,Nvidia GeForce RTX 3070 Ti,8.5,5 hours,3,16GB,1TB SSD,"$1,950","$1,980","$1,970","$2,000","$1,975",4.5,"10% off, free shipping",9,9,9,High,7,4.4,8.4,Screen,4
Razer Blade 17,Intel Core i7-12800H,8.4,Nvidia GeForce RTX 3080,9,5 hours,3,32GB,2TB SSD,"$2,350","$2,380","$2,370","$2,400","$2,375",3.8,"10% off, free shipping",9,9.2,9.2,High,7,4.5,8.5,Screen,4
Dell XPS 17,Intel Core i7-13700H,8.5,Nvidia GeForce RTX 3060,8,8 hours,6,16GB,1TB SSD,"$1,750","$1,780","$1,770","$1,800","$1,775",5,"5% off, free shipping",7,8.8,8.8,High,8,4.3,8.3,Motherboard,2
Dell XPS 17,Intel Core i9-13900H,9,Nvidia GeForce RTX 3070,8,8 hours,6,32GB,2TB SSD,"$2,350","$2,380","$2,370","$2,400","$2,375",3.8,"5% off, free shipping",7,9.2,9.2,High,8,4.5,8.5,Motherboard,2
MacBook Pro 14-inch (M1),Apple M1 Pro,8.7,Integrated Apple GPU,7,10 hours,7,16GB,512GB SSD,"$1,999","$1,999","$1,999","$1,999","$1,999",3.5,"10% off, Apple Education Store",9,9.5,9.5,Very High,9,4.8,8.8,Battery,7
MacBook Pro 14-inch (M1),Apple M1 Max,8.8,Integrated Apple GPU,7,10 hours,7,32GB,1TB SSD,"$2,899","$2,899","$2,899","$2,899","$2,899",3,"10% off, Apple Education Store",9,9.7,9.7,Very High,9,4.9,8.9,Battery,7
HP Pavilion Gaming,AMD Ryzen 5 4600H,6.5,Nvidia GeForce GTX 1650,6,8 hours,6,8GB,256GB SSD,$850,$870,$860,$880,$865,8.2,"5% off, HP Education Store",7,8,8,Medium,6,4.2,8.2,Hard Drive,3
HP Pavilion Gaming,AMD Ryzen 7 4800H,7.3,Nvidia GeForce GTX 1660 Ti,6.5,8 hours,6,16GB,512GB SSD,"$1,050","$1,070","$1,060","$1,080","$1,065",7.8,"5% off, HP Education Store",7,8.3,8.3,Medium,6,4.3,8.3,Hard Drive,3
Acer Swift 3,Intel Core i5-1135G7,6.8,Intel Iris Xe,5,12 hours,8,8GB,256GB SSD,$680,$700,$690,$710,$695,9,"5% off, Acer Education Store",7,7.5,7.5,Medium,6.5,4,8,Screen,4
Acer Swift 3,Intel Core i7-1165G7,7.5,Intel Iris Xe,5,12 hours,8,16GB,512GB SSD,$850,$870,$860,$880,$865,8.2,"5% off, Acer Education Store",7,8,8,Medium,6.5,4.2,8.2,Screen,4
ASUS VivoBook 15,Intel Core i7-1165G7,7.5,Nvidia MX250,4.5,10 hours,7,16GB,1TB SSD,$800,$820,$810,$830,$815,8.5,"5% off, ASUS Education Store",7,8.5,8.5,Medium,6,4.3,8.3,Keyboard,8
ASUS VivoBook 15,Intel Core i5-1135G7,6.8,Intel Iris Xe,5,10 hours,7,8GB,512GB SSD,$680,$700,$690,$710,$695,9,"5% off, ASUS Education Store",7,8,8,Medium,6,4.1,8.1,Keyboard,8
Microsoft Surface Laptop 4,AMD Ryzen 5 4680U,6.3,Integrated Graphics,4,10 hours,7,8GB,256GB SSD,"$1,200","$1,220","$1,210","$1,230","$1,215",7.2,"10% off, Microsoft Education Store",9,8.5,8.5,High,8.5,4.5,8.5,Battery,7
Microsoft Surface Laptop 4,Intel Core i7-1185G7,7.8,Integrated Graphics,4,10 hours,7,16GB,512GB SSD,"$1,700","$1,720","$1,710","$1,730","$1,715",5.3,"10% off, Microsoft Education Store",9,8.8,8.8,High,8.5,4.6,8.6,Battery,7
MSI Creator 15,Intel Core i7-11800H,8,Nvidia GeForce RTX 3060,8,6 hours,4,16GB,1TB SSD,"$2,100","$2,120","$2,110","$2,130","$2,115",4.2,"5% off, MSI Education Store",7,9,9,High,7.5,4.4,8.4,Screen,4
Acer ConceptD 3 Ezel,Intel Core i7-10750H,7,Nvidia GeForce GTX 1650,6,7 hours,5,16GB,512GB SSD,"$1,350","$1,380","$1,370","$1,400","$1,375",6.5,"10% off, Acer Education Store",9,8.5,8.5,High,7,4.3,8.3,Screen,4
Acer ConceptD 3 Ezel,Intel Core i5-10300H,6,Nvidia GeForce GTX 1650,6,7 hours,5,16GB,512GB SSD,"$1,150","$1,180","$1,170","$1,200","$1,175",7.5,"10% off, Acer Education Store",9,8,8,High,7,4.1,8.1,Screen,4
ASUS ZenBook Duo 14,Intel Core i7-1165G7,7.5,Intel Iris Xe,5,8 hours,6,16GB,512GB SSD,"$1,450","$1,480","$1,470","$1,500","$1,475",6.2,"5% off, ASUS Education Store",7,8.5,8.5,High,7.5,4.5,8.5,Keyboard,8
ASUS ZenBook Duo 14,Intel Core i5-1135G7,6.8,Intel Iris Xe,5,8 hours,6,8GB,256GB SSD,"$1,250","$1,280","$1,270","$1,300","$1,275",6.8,"5% off, ASUS Education Store",7,8,8,High,7.5,4.3,8.3,Keyboard,8
LG Gram 16,Intel Core i7-1165G7,7.5,Intel Iris Xe,5,12 hours,8,16GB,512GB SSD,"$1,550","$1,580","$1,570","$1,600","$1,575",5.8,"5% off, LG Education Store",7,8.8,8.8,High,8,4.4,8.4,Battery,7
HP Spectre x360 14,Intel Core i7-1165G7,7.5,Intel Iris Xe,5,10 hours,7,16GB,512GB SSD,"$1,450","$1,480","$1,470","$1,500","$1,475",6.2,"10% off, HP Education Store",9,9.2,9.2,High,8,4.5,8.5,Screen,4
HP Spectre x360 14,Intel Core i5-1135G7,6.8,Intel Iris Xe,5,10 hours,7,8GB,256GB SSD,"$1,250","$1,280","$1,270","$1,300","$1,275",6.8,"10% off, HP Education Store",9,8.5,8.5,High,8,4.3,8.3,Screen,4
Dell Inspiron 15 7000,Intel Core i7-10750H,7,Nvidia GeForce GTX 1650,6,8 hours,6,16GB,512GB SSD,"$1,000","$1,030","$1,020","$1,050","$1,025",8,"5% off, Dell Education Store",7,9.2,9.2,Medium,6.5,4.8,8.8,Screen,4
Dell Inspiron 15 7000,Intel Core i5-10300H,6,Nvidia GeForce GTX 1650,6,8 hours,6,8GB,256GB SSD,"$1,650","$1,680","$1,670","$1,700","$1,675",5.5,"5% off, Dell Education Store",7,8.5,8.5,Medium,6.5,4.2,8.2,Battery,7
Lenovo ThinkPad X1 Carbon,Intel Core i7-1165G7,7.5,Intel Iris Xe,5,10 hours,7,16GB,512GB SSD,$850,$870,$860,$880,$865,8.2,"10% off, Lenovo Education Store",9,9.2,9.2,High,8.5,4.3,8.3,Keyboard,8
Google Pixelbook Go,Intel Core i5-8200Y,5.5,Intel UHD Graphics 615,3,12 hours,8,8GB,128GB SSD,"$1,050","$1,070","$1,060","$1,080","$1,065",7.8,"5% off, Google Education Store",7,8.8,8.8,High,8,4.5,8.5,Keyboard,8
Google Pixelbook Go,Intel Core i7-8500Y,5.8,Intel UHD Graphics 615,3,12 hours,8,16GB,256GB SSD,"$1,200","$1,230","$1,220","$1,250","$1,225",7,"5% off, Google Education Store",7,8.5,8.5,High,8,4.3,8.3,Keyboard,8
HP Omen 15,AMD Ryzen 7 4800H,7.3,Nvidia GeForce GTX 1660 Ti,6.5,6 hours,4,16GB,512GB SSD,"$1,500","$1,530","$1,520","$1,550","$1,525",6,"10% off, HP Education Store",9,9.2,9.2,Medium,6.5,4.5,8.5,Screen,4
HP Omen 15,Intel Core i7-10750H,7,Nvidia GeForce GTX 1650,6,6 hours,4,16GB,512GB SSD,"$1,450","$1,480","$1,470","$1,500","$1,475",6.2,"10% off, HP Education Store",9,8.5,8.5,Medium,6.5,4.3,8.3,Screen,4
ASUS ROG Zephyrus G14,AMD Ryzen 9 4900HS,8.1,Nvidia GeForce RTX 2060,7.5,8 hours,6,16GB,1TB SSD,"$1,850","$1,880","$1,870","$1,900","$1,875",4.8,"5% off, ASUS Education Store",7,8.8,8.8,High,7.5,4.3,8.3,Keyboard,8
MSI Stealth 15M,Intel Core i7-11375H,7.2,Nvidia GeForce RTX 3060,8,6 hours,4,16GB,1TB SSD,"$1,350","$1,380","$1,370","$1,400","$1,375",6.5,"5% off, MSI Education Store",7,8.8,8.8,High,7,4.3,8.3,Screen,4
MSI Stealth 15M,Intel Core i9-11900H,8.6,Nvidia GeForce RTX 3070,8,6 hours,4,32GB,2TB SSD,"$2,100","$2,130","$2,120","$2,150","$2,125",4.2,"5% off, MSI Education Store",7,9,9,High,7,4.4,8.4,Battery,7
Samsung Galaxy Book Pro 360,Intel Core i7-1165G7,7.5,Intel Iris Xe,5,21 hours,9,16GB,512GB SSD,"$1,350","$1,380","$1,370","$1,400","$1,375",6.5,"10% off, Samsung Education Store",9,8.5,8.5,High,7,4.5,8.5,Battery,7
Samsung Galaxy Book Pro 360,Intel Core i5-1135G7,6.8,Intel Iris Xe,5,21 hours,9,8GB,256GB SSD,"$1,150","$1,180","$1,170","$1,200","$1,175",7.5,"10% off, Samsung Education Store",9,8,8,High,7,4.1,8.1,Battery,7
Microsoft Surface Laptop 7,Intel Core i5-1035G7,7,Intel Iris Plus,5,11.5 hours,7.5,8GB,256GB SSD,"$1,000","$1,020","$1,010","$1,050","$1,020",6.5,"10% off, free shipping",9,8.5,8.5,High,8.5,4.7,8.7,Battery,7
Microsoft Surface Laptop 7,Intel Core i7-1065G7,7.5,Intel Iris Plus,5,11.5 hours,7.5,16GB,512GB SSD,"$1,300","$1,320","$1,310","$1,350","$1,320",5.8,"10% off, free shipping",9,8.8,8.8,High,8.5,4.8,8.8,Battery,7
Dell XPS 13 (2024),Intel Core Ultra 5 125H,7.5,Intel Arc,6,55 watt-hour,8,8GB,256GB SSD,"$1,099","$1,120","$1,110","$1,149","$1,119",7,"10% off, free shipping",9,8.5,8.5,High,8,4.8,8.8,Battery,7
Dell XPS 13 (2024),Intel Core Ultra 7 155H,8,Intel Arc,6,55 watt-hour,8,16GB,512GB SSD,"$1,399","$1,420","$1,410","$1,449","$1,419",6.5,"10% off, free shipping",9,8.7,8.7,High,8,4.9,8.9,Battery,7
Dell XPS 13 (2024),Intel Core Ultra 7 165H,8.5,Intel Arc,6,55 watt-hour,8,32GB,1TB SSD,"$1,599","$1,620","$1,610","$1,649","$1,619",6,"10% off, free shipping",9,8.8,8.8,High,8,4.9,8.9,Battery,7
Apple MacBook Pro (14-inch),Apple M4 Pro,9.5,Integrated Apple GPU,8,17 hours,8.5,16GB,512GB SSD,Unavailable,"$2,699","$2,699","$2,699","$2,699",3.5,"10% off, Apple Education Store",9,9.8,9.8,Very High,9,4.9,8.9,Battery,7
Apple MacBook Pro (14-inch),Apple M4 Max,10,Integrated Apple GPU,8,17 hours,8.5,32GB,1TB SSD,Unavailable,"$4,649","$4,649","$4,649","$4,649",1.5,"10% off, Apple Education Store",9,9.9,9.9,Very High,9,5,9,Battery,7
Apple MacBook Pro (16-inch),Apple M4 Pro,9.5,Integrated Apple GPU,8,21 hours,9,16GB,1TB SSD,Unavailable,"$3,249","$3,249","$3,249","$3,249",2.5,"10% off, Apple Education Store",9,9.9,9.9,Very High,9,4.9,8.9,Battery,7
Apple MacBook Pro (16-inch),Apple M4 Max,10,Integrated Apple GPU,8,21 hours,9,48GB,1TB SSD,Unavailable,"$5,299","$5,299","$5,299","$5,299",1,"10% off, Apple Education Store",9,10,10,Very High,9,5,9,Battery,7
Asus Vivobook S 14 (Q423SA-U5512),Intel Core i5-1135G7,7,Intel Iris Xe,5,10 hours,7,8GB,256GB SSD,$799,$820,$810,$830,$815,8.5,"5% off, free shipping",7,8.3,8.3,Medium,6.5,4.3,8.3,Screen,4
Asus Vivobook S 14 (Q423SA-U5512),Intel Core i7-1165G7,7.5,Intel Iris Xe,5,10 hours,7,16GB,512GB SSD,$999,"$1,020","$1,010","$1,030","$1,015",7.8,"5% off, free shipping",7,8.5,8.5,Medium,6.5,4.4,8.4,Screen,4
Lenovo ThinkPad X1 Carbon Gen 12,Intel Core Ultra 5 125U,7.5,Integrated Intel Graphics,5,57 watt-hours,8,16GB,512GB SSD,"$2,335","$2,355","$2,345","$2,375","$2,355",6,"10% off, free shipping",9,8.5,8.5,High,8.5,4.6,8.6,Battery,7
Lenovo ThinkPad X1 Carbon Gen 12,Intel Core Ultra 7 155U,8,Integrated Intel Graphics,5,57 watt-hours,8,32GB,1TB SSD,"$2,735","$2,755","$2,745","$2,775","$2,755",5.5,"10% off, free shipping",9,8.7,8.7,High,8.5,4.7,8.7,Battery,7
HP Spectre x360 2-in-1,Intel Core i5-1235U,7.5,Intel Iris Xe,5,16.5 hours,8,8GB,256GB SSD,"$1,199","$1,219","$1,209","$1,239","$1,216",6.8,"10% off, free shipping",9,8.5,8.5,High,8,4.8,8.8,Battery,7
HP Spectre x360 2-in-1,Intel Core i7-1265U,8,Intel Iris Xe,5,16.5 hours,8,16GB,512GB SSD,"$1,399","$1,419","$1,409","$1,439","$1,416",6.5,"10% off, free shipping",9,8.7,8.7,High,8,4.9,8.9,Battery,7
Razer Blade 16,Intel Core i7-13700H,8.5,Nvidia GeForce RTX 4060,8.5,5 hours,6,16GB,1TB SSD,Unavailable,"$2,799","$2,799","$2,799","$2,799",3.8,"10% off, free shipping",9,9.3,9.3,High,7.5,4.7,8.7,Battery,7
Razer Blade 16,Intel Core i9-13900H,9,Nvidia GeForce RTX 4080,9,5 hours,6,32GB,2TB SSD,Unavailable,"$3,499","$3,499","$3,499","$3,499",3,"10% off, free shipping",9,9.5,9.5,High,7.5,4.8,8.8,Battery,7
Razer Blade 14,AMD Ryzen 9 7940HS,8.5,Nvidia GeForce RTX 4060,8.5,10 hours,8,16GB,1TB SSD,Unavailable,"$2,199","$2,199","$2,199","$2,199",5,"10% off, free shipping",9,9.3,9.3,High,7.5,4.7,8.7,Battery,7
Razer Blade 14,AMD Ryzen 9 7945HS,9,Nvidia GeForce RTX 4080,9,10 hours,8,32GB,2TB SSD,Unavailable,"$2,799","$2,799","$2,799","$2,799",3.8,"10% off, free shipping",9,9.5,9.5,High,7.5,4.8,8.8,Battery,7
Dell Alienware m16 R2,Intel Core Ultra 7 155H,8,Nvidia GeForce RTX 4050,8,10 hours,8,16GB,1TB SSD,Unavailable,"$1,649.99","$1,649.99","$1,649.99","$1,649.99",7,"10% off, free shipping",9,9,9,High,7,4.7,8.7,Battery,7
Dell Alienware m16 R2,Intel Core Ultra 9 185H,8.5,Nvidia GeForce RTX 4070,8.5,10 hours,8,32GB,2TB SSD,Unavailable,"$2,399.99","$2,399.99","$2,399.99","$2,399.99",6.5,"10% off, free shipping",9,9.2,9.2,High,7,4.8,8.8,Battery,7
HP Omen Transcend 14,Intel Core i7-12650H,8,Nvidia GeForce RTX 3050,8,9 hours,7,16GB,512GB SSD,"$1,099.99","$1,119.99","$1,109.99","$1,139.99","$1,117.49",7,"10% off, free shipping",9,8.5,8.5,High,7,4.6,8.6,Battery,7
HP Omen Transcend 14,Intel Core i9-12950H,8.5,Nvidia GeForce RTX 3060,8.5,9 hours,7,32GB,1TB SSD,"$1,399.99","$1,419.99","$1,409.99","$1,439.99","$1,417.49",6.5,"10% off, free shipping",9,8.7,8.7,High,7,4.7,8.7,Battery,7
HP Omen Transcend 16,Intel Core i7-13650H,8.5,Nvidia GeForce RTX 4060,8.5,9 hours,7,16GB,1TB SSD,"$1,599.99","$1,619.99","$1,609.99","$1,639.99","$1,617.49",6,"10% off, free shipping",9,8.8,8.8,High,7,4.8,8.8,Battery,7
HP Omen Transcend 16,Intel Core i9-13950H,9,Nvidia GeForce RTX 4070,9,9 hours,7,32GB,2TB SSD,"$1,899.99","$1,919.99","$1,909.99","$1,939.99","$1,917.49",5.5,"10% off, free shipping",9,9,9,High,7,4.9,8.9,Battery,7
MSI Titan 18 HX,Intel Core i9-14900HX,9,Nvidia GeForce RTX 4090,9,4 hours,5,32GB,2TB SSD,Unavailable,"$5,299","$5,034.99","$6,049","$5,434.99",3,"10% off, free shipping",9,9.5,9.5,High,7,4.8,8.8,Battery,7
MSI Titan 18 HX,Intel Core i9-14900HX,9,Nvidia GeForce RTX 4080,8.5,4 hours,5,32GB,1TB SSD,Unavailable,"$5,499","$5,499","$5,499","$5,499",3,"10% off, free shipping",9,9.3,9.3,High,7,4.8,8.8,Battery,7
